fecha;pais;casos_mes;muertes_mes;incicencia_media_mes
7/2020;Georgia;232;2;2.0992800119354835
6/2020;Georgia;171;3;2.1467377836666666
5/2020;Georgia;240;6;3.310744563870968
4/2020;Georgia;419;6;4.312657763333333
3/2020;Georgia;96;0;0.7926058992857143
2/2020;Georgia;2;0;0.0034510693103448277
11/2020;Germany;523947;5671;287.6359517551724
10/2020;Germany;229534;964;81.24415496741936
9/2020;Germany;46838;190;24.143045859666664
8/2020;Germany;33683;157;16.333995888064514
7/2020;Germany;14439;168;7.3241499083870965
6/2020;Germany;12777;473;7.175367144333333
5/2020;Germany;22363;2212;16.33811464
4/2020;Germany;97206;5705;65.10553165533334
3/2020;Germany;61856;583;17.62227132580645
2/2020;Germany;52;0;0.011546972413793103
1/2020;Germany;5;0;0.0005439858064516129
11/2020;Gibraltar;316;5;453.00437658620694
10/2020;Gibraltar;302;0;374.9691354064516
9/2020;Gibraltar;106;0;155.16525247666667
8/2020;Gibraltar;98;0;85.55957300612903
7/2020;Gibraltar;10;0;9.37901359516129
6/2020;Gibraltar;16;0;32.239561699666666
5/2020;Gibraltar;20;0;23.256125547419355
4/2020;Gibraltar;72;0;143.10014043666666
3/2020;Gibraltar;69;0;0.0
11/2020;Greece;65838;1603;268.8408531551724
10/2020;Greece;19073;232;58.36957844193549
9/2020;Greece;7989;126;32.05310209266666
8/2020;Greece;5733;59;19.275854179032258
7/2020;Greece;1011;12;3.5811550258064515
6/2020;Greece;475;16;1.7980470263333332
5/2020;Greece;339;36;2.023686461612903
4/2020;Greece;1364;96;7.165769088
3/2020;Greece;1208;43;3.361913337241379
2/2020;Greece;4;0;0.002572236551724138
11/2020;Guernsey;19;0;15.244130742068966
10/2020;Guernsey;11;0;5.504106063870968
9/2020;Guernsey;4;0;2.326735744
5/2020;Guernsey;1;0;6.705001931290322
4/2020;Guernsey;206;13;157.28733635533334
3/2020;Guernsey;45;0;0.0
10/2020;Holy_See;14;0;775.7767662580644
5/2020;Holy_See;2;0;178.11201266129032
4/2020;Holy_See;4;0;351.73824129999997
3/2020;Holy_See;6;0;144.3522194117647
11/2020;Hungary;136206;2922;585.9904186068965
10/2020;Hungary;48860;985;174.50124250000002
9/2020;Hungary;20500;151;74.55419945766667
8/2020;Hungary;1456;18;3.940843629354839
7/2020;Hungary;360;11;1.361916475483871
6/2020;Hungary;278;61;1.8336690286666666
5/2020;Hungary;1092;212;6.614834269032258
4/2020;Hungary;2283;296;9.834823803666666
3/2020;Hungary;492;16;1.1834312257692308
11/2020;Iceland;574;14;121.14668398689656
10/2020;Iceland;2102;2;244.4716913
9/2020;Iceland;590;0;49.497046145666665
8/2020;Iceland;233;0;27.605286153548388
7/2020;Iceland;50;0;3.7770898903225807
6/2020;Iceland;16;0;1.671377336
5/2020;Iceland;9;0;3.144562874516129
4/2020;Iceland;711;8;148.39776539833335
3/2020;Iceland;1085;2;81.41526293000001
2/2020;Iceland;1;0;0.009659279655172414
11/2020;Ireland;10883;142;144.79870198931036
10/2020;Ireland;25319;105;200.69993416741934
9/2020;Ireland;6980;26;52.96233463233333
8/2020;Ireland;2733;14;20.40433215580645
7/2020;Ireland;565;28;4.18334523516129
6/2020;Ireland;533;85;7.8843340993333335
5/2020;Ireland;4676;460;68.97454895064517
4/2020;Ireland;17343;1136;149.209663468
3/2020;Ireland;2910;54;13.701725797931035
11/2020;Isle_of_Man;16;1;10.028205344482759
10/2020;Isle_of_Man;13;0;5.224502996129032
9/2020;Isle_of_Man;4;0;2.009717577
6/2020;Isle_of_Man;0;0;0.11821868099999998
5/2020;Isle_of_Man;23;3;17.465856727741933
4/2020;Isle_of_Man;271;21;153.32962914933333
3/2020;Isle_of_Man;42;0;0.0
11/2020;Italy;916858;16042;699.9380243862068
10/2020;Italy;334663;2446;151.6166623148387
9/2020;Italy;44793;398;32.40122669866666
8/2020;Italy;21060;345;11.04195013
7/2020;Italy;6722;388;4.8557944480645165
6/2020;Italy;7772;1404;7.513586446000001
5/2020;Italy;29073;5658;31.02066984387097
4/2020;Italy;101852;16091;93.59856130866666
3/2020;Italy;100851;11570;49.79205454193548
2/2020;Italy;885;21;0.15607621931034485
1/2020;Italy;3;0;0.00016032967741935484
11/2020;Jersey;354;0;131.44240526931034
10/2020;Jersey;165;0;56.887621660967746
9/2020;Jersey;35;0;13.791482677
8/2020;Jersey;39;1;14.064798622903224
7/2020;Jersey;16;0;5.865320275806451
6/2020;Jersey;11;2;5.318688384333333
5/2020;Jersey;22;8;18.433863726129033
4/2020;Jersey;223;19;99.50894901800001
3/2020;Jersey;63;2;0.0
11/2020;Kosovo;19103;311;430.01399974827586
10/2020;Kosovo;3754;53;64.70962296419354
9/2020;Kosovo;2240;109;71.00337724866667
8/2020;Kosovo;5230;304;146.8566580451613
7/2020;Kosovo;5305;163;109.9048410964516
6/2020;Kosovo;1729;19;31.89128458133333
5/2020;Kosovo;262;9;9.369784089677418
4/2020;Kosovo;698;20;15.436886690333333
3/2020;Kosovo;110;1;1.3745977066666666
11/2020;Latvia;10882;124;217.24859207931033
10/2020;Latvia;3950;32;65.13885446741935
9/2020;Latvia;336;3;5.736206715
8/2020;Latvia;165;3;3.3165875341935482
7/2020;Latvia;111;1;2.2295398467741934
6/2020;Latvia;52;6;1.7430846073333333
5/2020;Latvia;216;9;6.413077314193548
4/2020;Latvia;473;15;13.809257932333333
3/2020;Latvia;376;0;5.1688361471999995
11/2020;Liechtenstein;750;13;987.4550972448276
10/2020;Liechtenstein;403;1;269.9799448348387
9/2020;Liechtenstein;12;0;16.155088853666665
8/2020;Liechtenstein;19;0;17.315027593548386
7/2020;Liechtenstein;6;0;4.791051321290323
5/2020;Liechtenstein;0;0;0.9245888512903225
4/2020;Liechtenstein;19;1;46.12017301266667
3/2020;Liechtenstein;64;0;51.74095278571429
11/2020;Lithuania;46370;336;623.5303833586207
10/2020;Lithuania;9245;65;94.71978800645162
9/2020;Lithuania;1704;6;21.975407966
