Producto;Fecha;Precio AND (€/Kg);Precio MAD (€/Kg);Valor AND (miles €);Valor MAD (miles €);Volumen AND (miles kg);Volumen MAD (miles kg);Precio CLM (€/Kg);Precio CYL (€/Kg);Precio CAT (€/Kg);Valor CLM (miles €);Valor CYL (miles €);Valor CAT (miles €);Volumen CLM (miles kg);Volumen CYL (miles kg);Volumen CAT (miles kg);Poblacion AND;Poblacion MAD;Poblacion CLM;Poblacion CYL;Poblacion CAT
LIMONES;08/2019;1.752;1.67;2427.388;1870.205;1385.865;1119.874;1.56;1.631;1.75;609.825;836.48;2707.714;390.974;513.004;1547.056;8.414.240;6.663.394;2.032.863;2.399.548;7.675.217
PLATANOS;08/2019;1.353;1.512;8286.332;6753.282;6122.345;4466.059;1.434;1.408;1.513;1847.453;2963.778;8148.584;1288.635;2105.26;5386.154;8.414.240;6.663.394;2.032.863;2.399.548;7.675.217
MANZANAS;08/2019;1.438;1.487;5133.066;3490.412;3568.615;2347.738;1.556;1.47;1.563;1206.909;1997.822;5943.782;775.832;1358.776;3802.893;8.414.240;6.663.394;2.032.863;2.399.548;7.675.217
PERAS;08/2019;1.53;1.597;3531.488;2524.144;2308.547;1580.534;1.344;1.563;1.62;508.799;1536.15;3118.199;378.71;983.13;1924.824;8.414.240;6.663.394;2.032.863;2.399.548;7.675.217
MELOCOTONES;08/2019;1.579;1.649;7146.368;6041.965;4526.798;3663.207;1.503;1.447;1.62;2047.129;2685.771;11462.56;1362.011;1856.29;7075.557;8.414.240;6.663.394;2.032.863;2.399.548;7.675.217
NECTARINAS;08/2019;1.304;1.333;3682.335;2812.331;2824.781;2109.979;1.383;1.333;1.372;1087.817;2247.121;3939.586;786.734;1685.229;2871.627;8.414.240;6.663.394;2.032.863;2.399.548;7.675.217
ALBARICOQUES;08/2019;1.82;2.118;570.956;720.79;313.787;340.242;1.439;1.919;1.818;158.333;397.852;600.569;110.026;207.296;330.427;8.414.240;6.663.394;2.032.863;2.399.548;7.675.217
FRESAS/FRESON;08/2019;4.174;3.782;709.353;711.665;169.958;188.169;3.772;6.158;3.944;115.46;668.219;698.386;30.612;108.51;177.091;8.414.240;6.663.394;2.032.863;2.399.548;7.675.217
MELON;08/2019;0.761;0.789;11601.27;8290.84;15242.14;10510.56;0.726;0.767;0.871;2581.494;3726.092;13439.25;3556.566;4859.486;15431.93;8.414.240;6.663.394;2.032.863;2.399.548;7.675.217
SANDIA;08/2019;0.735;0.716;10850.66;7856.597;14763.46;10976.9;0.621;0.645;0.783;2144.698;3283.912;10106.02;3455.577;5089.333;12914.25;8.414.240;6.663.394;2.032.863;2.399.548;7.675.217
CIRUELAS;08/2019;1.489;1.682;3370.052;3401.672;2263.654;2022.225;1.501;1.432;1.698;696.949;1614.502;3286.132;464.275;1127.649;1935.199;8.414.240;6.663.394;2.032.863;2.399.548;7.675.217
CEREZAS;08/2019;4.287;4.018;777.449;703.13;181.36;174.979;4.315;4.174;5.507;185.478;277.323;2090.395;42.986;66.448;379.591;8.414.240;6.663.394;2.032.863;2.399.548;7.675.217
UVAS;08/2019;2.679;2.503;3021.832;1553.656;1128.064;620.813;2.813;2.599;2.771;262.855;440.216;2853.853;93.443;169.386;1029.972;8.414.240;6.663.394;2.032.863;2.399.548;7.675.217
KIWI;08/2019;3.029;3.043;3512.116;3266.342;1159.345;1073.39;3.248;3.252;3.628;444.346;1587.007;4141.352;136.791;488.026;1141.491;8.414.240;6.663.394;2.032.863;2.399.548;7.675.217
AGUACATE;08/2019;4.282;4.102;2674.557;2182.91;624.56;532.105;4.433;3.493;4.372;449.325;951.043;3142.649;101.354;272.247;718.861;8.414.240;6.663.394;2.032.863;2.399.548;7.675.217
PIÑA;08/2019;1.47;1.761;909.206;1082.839;618.672;614.889;1.294;1.44;1.779;137.574;265.398;1051.237;106.35;184.3;590.807;8.414.240;6.663.394;2.032.863;2.399.548;7.675.217
POMELO;08/2019;1.716;2.134;398.098;416.737;232.03;195.276;1.874;1.827;2.114;11.888;155.434;182.842;6.343;85.068;86.48;8.414.240;6.663.394;2.032.863;2.399.548;7.675.217
CHIRIMOYA;08/2019;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;8.414.240;6.663.394;2.032.863;2.399.548;7.675.217
MANGO;08/2019;2.271;2.613;1167.195;430.628;514.044;164.772;2.591;2.354;2.726;108.81;238.678;911.485;41.993;101.406;334.334;8.414.240;6.663.394;2.032.863;2.399.548;7.675.217
TOMATES;09/2019;1.551;1.632;19196.92;11325.57;12373.18;6941.131;1.518;1.543;1.746;3159.387;6143.531;20812.48;2081.581;3980.789;11922.52;8.414.240;6.663.394;2.032.863;2.399.548;7.675.217
CEBOLLAS;09/2019;1.187;1.275;5528.688;3921.455;4656.718;3075.669;1.044;1.176;1.303;794.245;1923.678;5903.624;760.844;1636.14;4531.506;8.414.240;6.663.394;2.032.863;2.399.548;7.675.217
AJOS;09/2019;3.965;4.578;1979.71;1159.707;499.297;253.3;3.616;4.229;4.458;404.111;499.175;1549.076;111.762;118.024;347.488;8.414.240;6.663.394;2.032.863;2.399.548;7.675.217
COLES;09/2019;1.111;1.255;684.178;813.422;615.842;648.059;1.115;0.996;1.272;150.07;474.877;1164.247;134.574;477.0;915.453;8.414.240;6.663.394;2.032.863;2.399.548;7.675.217
PEPINOS;09/2019;1.296;1.24;2277.319;1612.425;1756.63;1299.879;1.274;1.174;1.338;627.707;520.035;2416.463;492.832;442.818;1805.573;8.414.240;6.663.394;2.032.863;2.399.548;7.675.217
JUDIAS VERDES;09/2019;3.338;3.007;2730.397;2426.343;818.027;806.953;3.428;3.436;3.889;684.748;2315.214;5937.667;199.76;673.872;1526.685;8.414.240;6.663.394;2.032.863;2.399.548;7.675.217
PIMIENTOS;09/2019;1.796;1.885;6606.243;4586.393;3678.807;2433.219;1.766;1.876;1.935;1367.462;5657.135;6931.524;774.543;3014.972;3582.328;8.414.240;6.663.394;2.032.863;2.399.548;7.675.217
CHAMPIÑONES+O.SETAS;09/2019;3.723;3.888;2617.422;2264.541;703.112;582.384;3.702;3.123;4.132;580.777;695.26;2884.31;156.878;222.606;698.059;8.414.240;6.663.394;2.032.863;2.399.548;7.675.217
LECHUGA/ESC./ENDIVIA;09/2019;2.677;3.032;6181.419;4871.802;2308.821;1606.906;2.618;2.482;2.828;860.01;1902.684;8860.209;328.447;766.454;3132.847;8.414.240;6.663.394;2.032.863;2.399.548;7.675.217
ESPARRAGOS;09/2019;2.978;3.601;697.49;700.342;234.227;194.512;3.91;4.254;1.69;137.344;101.761;1173.921;35.126;23.923;694.433;8.414.240;6.663.394;2.032.863;2.399.548;7.675.217
VERDURAS DE HOJA;09/2019;2.461;2.723;1415.248;1707.902;574.985;627.148;2.688;2.507;2.583;381.573;375.274;2273.028;141.947;149.715;879.864;8.414.240;6.663.394;2.032.863;2.399.548;7.675.217
BERENJENAS;09/2019;1.489;1.578;2060.459;1106.372;1383.425;700.912;1.429;1.483;1.539;281.446;492.015;2971.775;196.93;331.808;1930.843;8.414.240;6.663.394;2.032.863;2.399.548;7.675.217
ZANAHORIAS;09/2019;0.92;0.982;2181.422;2169.307;2369.928;2209.415;0.825;0.84;1.089;352.131;747.802;2235.057;426.653;890.185;2052.778;8.414.240;6.663.394;2.032.863;2.399.548;7.675.217
CALABACINES;09/2019;1.294;1.237;3320.767;2822.984;2566.524;2282.756;1.268;1.449;1.266;541.499;1555.924;3793.316;427.104;1073.495;2995.771;8.414.240;6.663.394;2.032.863;2.399.548;7.675.217
BROCOLI;09/2019;2.103;2.221;1077.7;1097.684;512.454;494.196;2.512;2.562;2.136;193.632;342.154;1646.076;77.07;133.55;770.791;8.414.240;6.663.394;2.032.863;2.399.548;7.675.217
ALCACHOFAS;09/2019;2.969;3.002;250.85;111.561;84.485;37.161;3.487;3.614;2.463;40.085;24.668;361.017;11.497;6.826;146.59;8.414.240;6.663.394;2.032.863;2.399.548;7.675.217
APIO;09/2019;1.778;1.842;425.056;188.274;239.12;102.21;1.901;1.739;1.45;23.122;67.149;477.536;12.162;38.624;329.311;8.414.240;6.663.394;2.032.863;2.399.548;7.675.217
COLIFLOR;09/2019;2.14;2.216;756.355;449.003;353.383;202.638;2.152;2.113;2.164;132.805;169.538;506.79;61.702;80.241;234.145;8.414.240;6.663.394;2.032.863;2.399.548;7.675.217
PUERRO;09/2019;2.522;2.435;1631.093;1738.76;646.636;714.042;2.786;2.771;2.717;323.721;904.545;1596.547;116.177;326.422;587.707;8.414.240;6.663.394;2.032.863;2.399.548;7.675.217
NARANJAS;09/2019;1.285;1.273;4493.125;5747.192;3497.443;4514.59;1.359;1.232;1.372;1195.593;2183.339;6430.148;880.006;1771.735;4686.079;8.414.240;6.663.394;2.032.863;2.399.548;7.675.217
MANDARINAS;09/2019;1.979;1.817;1244.631;1218.786;628.798;670.899;2.218;1.901;2.051;195.938;307.858;1329.583;88.328;161.922;648.164;8.414.240;6.663.394;2.032.863;2.399.548;7.675.217
LIMONES;09/2019;1.781;1.861;2532.667;2337.195;1421.826;1255.607;1.652;1.912;1.894;584.046;836.103;2713.989;353.5;437.348;1433.301;8.414.240;6.663.394;2.032.863;2.399.548;7.675.217
PLATANOS;09/2019;1.455;1.604;10037.03;8884.41;6900.453;5537.746;1.631;1.466;1.628;2620.165;3188.954;10725.43;1606.401;2174.598;6586.44;8.414.240;6.663.394;2.032.863;2.399.548;7.675.217
MANZANAS;09/2019;1.489;1.561;7388.827;6295.82;4961.194;4032.361;1.443;1.426;1.524;1327.147;3300.552;7164.774;919.888;2314.481;4700.536;8.414.240;6.663.394;2.032.863;2.399.548;7.675.217
PERAS;09/2019;1.555;1.599;3702.484;3985.925;2380.957;2493.531;1.561;1.596;1.64;876.63;3373.051;4720.355;561.444;2114.014;2879.059;8.414.240;6.663.394;2.032.863;2.399.548;7.675.217
MELOCOTONES;09/2019;1.614;1.664;6784.879;6933.18;4203.363;4165.895;1.554;1.979;1.647;1909.84;4396.909;11439.56;1229.229;2222.105;6945.693;8.414.240;6.663.394;2.032.863;2.399.548;7.675.217
NECTARINAS;09/2019;1.308;1.324;3581.226;3136.571;2738.652;2369.083;1.376;1.238;1.373;784.54;1806.144;3719.825;570.351;1458.764;2708.818;8.414.240;6.663.394;2.032.863;2.399.548;7.675.217
ALBARICOQUES;09/2019;1.538;1.945;121.023;233.229;78.689;119.937;2.193;1.507;1.736;58.153;90.904;143.562;26.522;60.305;82.706;8.414.240;6.663.394;2.032.863;2.399.548;7.675.217
FRESAS/FRESON;09/2019;3.835;4.224;484.609;675.382;126.371;159.875;4.65;3.993;4.729;106.916;373.828;739.979;22.993;93.612;156.484;8.414.240;6.663.394;2.032.863;2.399.548;7.675.217
MELON;09/2019;0.822;0.912;12307.25;8074.067;14980.22;8855.682;0.816;0.838;0.916;2410.362;3254.019;12187.12;2953.935;3884.213;13306.96;8.414.240;6.663.394;2.032.863;2.399.548;7.675.217
SANDIA;09/2019;0.764;0.801;7572.296;4135.244;9917.025;5163.189;0.718;0.776;0.808;1389.858;2275.906;5799.517;1934.91;2932.411;7177.593;8.414.240;6.663.394;2.032.863;2.399.548;7.675.217
CIRUELAS;09/2019;1.554;1.688;2859.202;2983.721;1839.783;1767.681;1.496;1.737;1.73;548.16;1375.402;3466.615;366.509;791.924;2003.828;8.414.240;6.663.394;2.032.863;2.399.548;7.675.217
CEREZAS;09/2019;1.866;3.433;32.861;107.112;17.61;31.202;3.405;1.595;3.648;19.153;28.061;196.596;5.626;17.595;53.897;8.414.240;6.663.394;2.032.863;2.399.548;7.675.217
UVAS;09/2019;2.416;2.351;6593.683;4466.235;2729.424;1899.825;2.35;2.593;2.588;736.183;3355.154;7243.061;313.258;1293.689;2798.299;8.414.240;6.663.394;2.032.863;2.399.548;7.675.217
KIWI;09/2019;3.6;3.457;4217.609;4186.331;1171.474;1210.81;3.416;3.151;3.615;938.198;1664.082;4925.494;274.674;528.098;1362.632;8.414.240;6.663.394;2.032.863;2.399.548;7.675.217
AGUACATE;09/2019;4.143;4.205;2736.816;2431.08;660.655;578.09;4.476;3.464;3.944;674.561;759.314;3463.247;150.708;219.218;878.156;8.414.240;6.663.394;2.032.863;2.399.548;7.675.217
PIÑA;09/2019;1.354;1.517;1279.148;1244.931;944.813;820.843;1.5;1.215;1.51;179.226;419.37;1328.437;119.506;345.119;879.473;8.414.240;6.663.394;2.032.863;2.399.548;7.675.217
POMELO;09/2019;1.898;2.26;229.301;284.967;120.798;126.069;1.106;2.043;2.056;14.071;156.377;414.753;12.727;76.538;201.725;8.414.240;6.663.394;2.032.863;2.399.548;7.675.217
CHIRIMOYA;09/2019;0.0;0.0;0.0;0.0;0.0;0.0;0.0;6.891;0.0;0.0;2.419;0.0;0.0;0.351;0.0;8.414.240;6.663.394;2.032.863;2.399.548;7.675.217
MANGO;09/2019;2.181;2.316;2188.228;1384.242;1003.305;597.751;2.385;2.595;2.15;91.117;263.916;1517.1;38.197;101.708;705.658;8.414.240;6.663.394;2.032.863;2.399.548;7.675.217
TOMATES;10/2019;1.617;1.736;16050.3;11335.61;9927.322;6530.596;1.711;1.706;1.845;3690.353;4916.951;16532.22;2156.515;2882.161;8962.069;8.414.240;6.663.394;2.032.863;2.399.548;7.675.217
CEBOLLAS;10/2019;1.102;1.177;5019.129;4048.023;4554.874;3438.162;1.141;1.068;1.257;861.73;1248.294;5947.793;755.114;1168.766;4731.388;8.414.240;6.663.394;2.032.863;2.399.548;7.675.217
AJOS;10/2019;3.917;4.226;2289.133;1304.42;584.444;308.673;3.894;3.778;4.93;374.832;506.825;1419.873;96.247;134.155;288.033;8.414.240;6.663.394;2.032.863;2.399.548;7.675.217
COLES;10/2019;1.081;1.251;660.223;903.002;610.766;721.692;1.193;1.353;1.099;207.183;672.8;1186.379;173.659;497.416;1079.418;8.414.240;6.663.394;2.032.863;2.399.548;7.675.217
PEPINOS;10/2019;1.289;1.304;1823.254;1313.306;1414.383;1007.348;1.226;1.285;1.29;531.004;480.065;1730.39;433.151;373.497;1340.973;8.414.240;6.663.394;2.032.863;2.399.548;7.675.217
JUDIAS VERDES;10/2019;2.986;2.738;3162.672;2515.616;1059.029;918.902;3.403;2.937;3.859;759.602;651.404;6182.501;223.237;221.774;1602.036;8.414.240;6.663.394;2.032.863;2.399.548;7.675.217
PIMIENTOS;10/2019;1.768;1.787;6284.491;4925.728;3555.52;2756.553;1.655;1.771;1.715;1662.952;2995.431;5357.484;1004.759;1691.176;3124.666;8.414.240;6.663.394;2.032.863;2.399.548;7.675.217
CHAMPIÑONES+O.SETAS;10/2019;4.202;3.897;3547.661;3059.23;844.202;784.987;4.312;3.734;4.874;1013.729;849.837;4558.052;235.094;227.583;935.265;8.414.240;6.663.394;2.032.863;2.399.548;7.675.217
LECHUGA/ESC./ENDIVIA;10/2019;2.741;3.057;7326.282;5209.682;2673.06;1703.984;2.691;2.512;2.963;1273.024;1821.755;8560.647;473.023;725.228;2889.145;8.414.240;6.663.394;2.032.863;2.399.548;7.675.217
ESPARRAGOS;10/2019;2.792;4.059;706.887;800.414;253.198;197.184;4.691;4.73;2.241;180.653;168.929;1096.973;38.508;35.718;489.463;8.414.240;6.663.394;2.032.863;2.399.548;7.675.217
VERDURAS DE HOJA;10/2019;2.695;2.751;1296.643;1778.905;481.196;646.568;2.898;2.539;2.474;582.063;493.978;2237.866;200.842;194.56;904.536;8.414.240;6.663.394;2.032.863;2.399.548;7.675.217
BERENJENAS;10/2019;1.461;1.472;2367.117;1396.333;1620.587;948.515;1.488;1.608;1.437;380.096;554.268;2335.071;255.447;344.595;1624.867;8.414.240;6.663.394;2.032.863;2.399.548;7.675.217
ZANAHORIAS;10/2019;0.944;0.954;2238.754;1876.977;2370.364;1968.215;0.822;0.845;1.035;386.63;674.638;2108.256;470.317;798.222;2036.747;8.414.240;6.663.394;2.032.863;2.399.548;7.675.217
CALABACINES;10/2019;1.347;1.264;3780.5;3343.938;2806.163;2646.059;1.354;1.373;1.372;681.693;1031.425;3985.558;503.494;751.106;2905.7;8.414.240;6.663.394;2.032.863;2.399.548;7.675.217
BROCOLI;10/2019;1.984;1.971;1339.882;1407.674;675.21;714.192;2.244;1.686;1.631;435.785;629.742;1944.727;194.204;373.563;1192.568;8.414.240;6.663.394;2.032.863;2.399.548;7.675.217
ALCACHOFAS;10/2019;2.583;2.513;579.496;311.769;224.33;124.064;3.322;2.836;2.794;136.398;77.808;787.148;41.063;27.439;281.774;8.414.240;6.663.394;2.032.863;2.399.548;7.675.217
APIO;10/2019;1.618;1.904;577.383;358.336;356.868;188.2;1.675;1.914;1.239;114.358;107.348;665.921;68.268;56.085;537.536;8.414.240;6.663.394;2.032.863;2.399.548;7.675.217
COLIFLOR;10/2019;1.916;1.868;964.675;624.106;503.449;334.084;2.144;1.669;2.022;110.172;248.401;680.72;51.388;148.867;336.722;8.414.240;6.663.394;2.032.863;2.399.548;7.675.217
PUERRO;10/2019;2.513;2.304;1607.695;1809.224;639.857;785.302;2.423;2.881;2.359;417.48;689.845;1708.351;172.27;239.419;724.161;8.414.240;6.663.394;2.032.863;2.399.548;7.675.217
NARANJAS;10/2019;1.332;1.356;6156.281;8182.464;4623.481;6035.791;1.383;1.318;1.481;1779.687;2968.139;9217.788;1287.121;2251.876;6224.178;8.414.240;6.663.394;2.032.863;2.399.548;7.675.217
MANDARINAS;10/2019;1.595;1.647;6402.062;6220.481;4014.133;3776.972;1.528;1.531;1.698;2104.376;1964.002;7236.648;1377.61;1282.725;4261.942;8.414.240;6.663.394;2.032.863;2.399.548;7.675.217
LIMONES;10/2019;1.627;1.696;2419.356;2122.607;1486.888;1251.581;1.604;1.742;1.909;490.144;1062.426;2479.108;305.556;610.001;1298.566;8.414.240;6.663.394;2.032.863;2.399.548;7.675.217
PLATANOS;10/2019;1.601;1.769;13784.45;10970.71;8609.159;6203.1;1.812;1.743;1.919;3498.677;4053.597;14675.76;1931.141;2325.364;7646.757;8.414.240;6.663.394;2.032.863;2.399.548;7.675.217
MANZANAS;10/2019;1.423;1.522;8879.714;8146.785;6239.647;5351.632;1.465;1.592;1.465;2146.387;5336.248;9275.891;1465.138;3352.662;6330.519;8.414.240;6.663.394;2.032.863;2.399.548;7.675.217
PERAS;10/2019;1.489;1.574;5840.242;5143.907;3921.359;3267.286;1.499;1.665;1.652;1309.067;2798.705;6430.962;873.064;1680.429;3893.529;8.414.240;6.663.394;2.032.863;2.399.548;7.675.217
MELOCOTONES;10/2019;1.909;1.925;4824.811;6009.079;2526.9;3121.937;1.902;1.925;2.042;1514.354;1253.602;9532.329;796.314;651.173;4667.767;8.414.240;6.663.394;2.032.863;2.399.548;7.675.217
NECTARINAS;10/2019;1.409;1.47;1810.967;1604.396;1285.007;1091.504;1.519;1.42;1.362;320.216;641.805;1626.512;210.874;451.891;1194.336;8.414.240;6.663.394;2.032.863;2.399.548;7.675.217
ALBARICOQUES;10/2019;1.466;1.85;49.46;47.892;33.745;25.889;1.476;1.569;1.969;18.456;30.943;71.251;12.5;19.717;36.193;8.414.240;6.663.394;2.032.863;2.399.548;7.675.217
FRESAS/FRESON;10/2019;2.978;4.6;466.042;599.196;156.509;130.267;3.371;4.955;3.824;198.575;411.098;950.325;58.916;82.971;248.539;8.414.240;6.663.394;2.032.863;2.399.548;7.675.217
MELON;10/2019;1.046;1.089;7029.392;4935.48;6721.903;4533.916;1.077;1.115;1.179;1979.557;1901.123;6275.967;1837.536;1705.121;5322.983;8.414.240;6.663.394;2.032.863;2.399.548;7.675.217
SANDIA;10/2019;0.885;0.993;1537.102;1014.408;1736.185;1021.451;0.669;0.947;0.833;392.241;558.766;989.948;586.341;590.323;1188.892;8.414.240;6.663.394;2.032.863;2.399.548;7.675.217
CIRUELAS;10/2019;1.652;1.732;2274.714;2151.572;1376.595;1242.204;1.668;1.773;1.63;449.763;699.546;2490.161;269.602;394.567;1527.936;8.414.240;6.663.394;2.032.863;2.399.548;7.675.217
CEREZAS;10/2019;3.081;1.997;115.803;79.639;37.582;39.887;4.776;1.982;2.179;4.24;11.259;31.785;0.888;5.68;14.584;8.414.240;6.663.394;2.032.863;2.399.548;7.675.217
UVAS;10/2019;2.244;2.113;7497.032;4986.829;3340.766;2359.533;1.944;1.969;2.415;1349.7;1956.695;7841.02;694.321;993.606;3247.04;8.414.240;6.663.394;2.032.863;2.399.548;7.675.217
KIWI;10/2019;3.47;3.396;6174.252;5810.77;1779.175;1711.023;3.183;3.291;3.476;999.404;2261.04;5675.283;314.028;687.135;1632.599;8.414.240;6.663.394;2.032.863;2.399.548;7.675.217
AGUACATE;10/2019;3.547;4.094;3355.502;2729.731;946.135;666.81;3.86;4.077;3.951;648.89;883.292;3280.831;168.111;216.631;830.405;8.414.240;6.663.394;2.032.863;2.399.548;7.675.217
PIÑA;10/2019;1.791;1.593;1210.962;2002.335;676.016;1257.122;1.415;1.359;1.776;241.759;496.614;1424.142;170.841;365.552;801.73;8.414.240;6.663.394;2.032.863;2.399.548;7.675.217
POMELO;10/2019;2.037;1.814;279.109;327.7;137.016;180.693;1.047;1.804;1.911;64.776;171.266;303.198;61.871;94.919;158.685;8.414.240;6.663.394;2.032.863;2.399.548;7.675.217
CHIRIMOYA;10/2019;6.819;0.0;3.783;0.0;0.555;0.0;0.0;5.455;0.0;0.0;11.13;0.0;0.0;2.04;0.0;8.414.240;6.663.394;2.032.863;2.399.548;7.675.217
MANGO;10/2019;2.017;2.024;3599.909;2290.677;1784.924;1131.751;2.43;2.097;2.266;365.359;593.968;2342.806;150.336;283.288;1033.953;8.414.240;6.663.394;2.032.863;2.399.548;7.675.217
TOMATES;11/2019;1.501;1.684;11809.45;9710.406;7870.264;5766.409;1.596;1.852;1.915;3335.061;3548.329;15378.82;2089.253;1915.75;8031.38;8.414.240;6.663.394;2.032.863;2.399.548;7.675.217
CEBOLLAS;11/2019;1.088;1.174;5038.385;3709.565;4631.118;3159.695;1.095;1.183;1.222;822.869;1638.064;6558.249;751.439;1384.702;5364.651;8.414.240;6.663.394;2.032.863;2.399.548;7.675.217
AJOS;11/2019;3.882;4.18;1834.104;1431.898;472.457;342.534;3.937;4.292;4.116;273.007;390.225;2003.021;69.343;90.91;486.693;8.414.240;6.663.394;2.032.863;2.399.548;7.675.217
COLES;11/2019;1.059;1.218;944.913;1396.736;892.349;1147.213;1.11;0.986;1.067;226.614;729.444;1800.236;204.188;739.471;1687.618;8.414.240;6.663.394;2.032.863;2.399.548;7.675.217
PEPINOS;11/2019;1.457;1.45;977.046;811.561;670.743;559.612;1.395;1.494;1.44;381.305;358.434;1279.181;273.292;239.849;888.536;8.414.240;6.663.394;2.032.863;2.399.548;7.675.217
JUDIAS VERDES;11/2019;3.143;2.857;2894.762;2866.272;921.158;1003.138;2.932;3.047;3.551;695.632;741.516;6374.169;237.273;243.363;1795.164;8.414.240;6.663.394;2.032.863;2.399.548;7.675.217
PIMIENTOS;11/2019;1.75;1.821;4966.871;4458.328;2838.014;2448.506;1.787;2.002;1.864;1394.773;1757.37;5509.951;780.424;877.88;2955.709;8.414.240;6.663.394;2.032.863;2.399.548;7.675.217
CHAMPIÑONES+O.SETAS;11/2019;4.681;5.064;3450.115;4189.243;737.061;827.181;4.766;5.492;5.903;1284.603;1728.467;6116.154;269.525;314.724;1036.188;8.414.240;6.663.394;2.032.863;2.399.548;7.675.217
LECHUGA/ESC./ENDIVIA;11/2019;2.757;3.084;6548.072;4550.585;2374.872;1475.332;2.834;2.552;3.018;1189.5;1840.613;7324.719;419.796;721.28;2426.675;8.414.240;6.663.394;2.032.863;2.399.548;7.675.217
ESPARRAGOS;11/2019;2.636;3.109;599.901;892.804;227.611;287.169;6.831;5.51;1.68;220.296;122.081;994.43;32.249;22.155;592.043;8.414.240;6.663.394;2.032.863;2.399.548;7.675.217
VERDURAS DE HOJA;11/2019;2.078;2.527;1772.962;1661.222;853.106;657.384;2.195;2.289;2.409;405.682;470.907;2508.266;184.824;205.743;1041.286;8.414.240;6.663.394;2.032.863;2.399.548;7.675.217
BERENJENAS;11/2019;1.44;1.448;1695.924;1128.196;1177.604;778.9;1.515;1.607;1.536;290.043;354.386;1933.076;191.48;220.554;1258.264;8.414.240;6.663.394;2.032.863;2.399.548;7.675.217
ZANAHORIAS;11/2019;0.904;0.865;1976.634;1770.952;2186.535;2046.264;0.816;0.795;0.969;409.926;647.206;2306.419;502.337;813.704;2381.195;8.414.240;6.663.394;2.032.863;2.399.548;7.675.217
CALABACINES;11/2019;1.434;1.378;3348.496;2950.73;2334.512;2141.723;1.446;1.387;1.5;702.905;951.696;3774.098;485.964;686.208;2516.193;8.414.240;6.663.394;2.032.863;2.399.548;7.675.217
BROCOLI;11/2019;1.925;1.821;1340.467;1262.063;696.236;693.014;2.073;1.741;1.672;454.206;520.824;1907.265;219.128;299.072;1140.406;8.414.240;6.663.394;2.032.863;2.399.548;7.675.217
ALCACHOFAS;11/2019;2.025;2.8;685.291;500.542;338.405;178.757;2.613;3.011;2.708;145.785;88.345;1603.094;55.801;29.338;591.889;8.414.240;6.663.394;2.032.863;2.399.548;7.675.217
APIO;11/2019;1.658;1.729;477.684;322.214;288.028;186.353;1.699;1.812;1.243;72.907;77.912;696.17;42.918;42.993;560.29;8.414.240;6.663.394;2.032.863;2.399.548;7.675.217
COLIFLOR;11/2019;1.877;1.921;903.253;469.256;481.101;244.28;2.053;1.633;1.902;279.378;319.521;764.612;136.089;195.669;401.918;8.414.240;6.663.394;2.032.863;2.399.548;7.675.217
PUERRO;11/2019;2.57;2.284;1634.731;1868.388;636.183;818.166;2.442;2.835;2.41;320.077;543.19;1942.448;131.071;191.634;805.925;8.414.240;6.663.394;2.032.863;2.399.548;7.675.217
NARANJAS;11/2019;1.029;1.051;8526.325;9487.759;8288.535;9025.822;1.011;1.02;1.135;2680.244;3956.391;10975.75;2651.016;3878.61;9669.262;8.414.240;6.663.394;2.032.863;2.399.548;7.675.217
MANDARINAS;11/2019;1.435;1.476;9373.293;9052.098;6530.09;6134.631;1.347;1.478;1.511;3369.687;3046.937;11378.47;2501.979;2062.06;7528.17;8.414.240;6.663.394;2.032.863;2.399.548;7.675.217
LIMONES;11/2019;1.588;1.613;2222.926;1914.512;1399.784;1187.257;1.799;1.651;1.703;719.192;913.795;2461.751;399.678;553.463;1445.383;8.414.240;6.663.394;2.032.863;2.399.548;7.675.217
PLATANOS;11/2019;1.637;1.75;13799.53;11564.08;8432.217;6609.114;1.693;1.724;1.869;3327.583;4018.926;14311.52;1965.375;2330.9;7656.172;8.414.240;6.663.394;2.032.863;2.399.548;7.675.217
MANZANAS;11/2019;1.469;1.518;8353.971;8280.401;5687.977;5455.352;1.368;1.336;1.453;2244.172;2946.715;9368.19;1640.686;2205.615;6446.753;8.414.240;6.663.394;2.032.863;2.399.548;7.675.217
PERAS;11/2019;1.589;1.578;5337.746;5261.645;3359.713;3334.505;1.453;1.333;1.591;1479.263;1863.096;6388.388;1017.819;1397.614;4015.436;8.414.240;6.663.394;2.032.863;2.399.548;7.675.217
MELOCOTONES;11/2019;1.96;2.252;944.522;1161.191;482.016;515.708;1.953;2.52;2.489;247.834;298.403;1822.404;126.916;118.414;732.067;8.414.240;6.663.394;2.032.863;2.399.548;7.675.217
NECTARINAS;11/2019;1.474;1.37;261.969;257.158;177.695;187.69;1.251;1.501;1.521;146.315;166.302;282.811;116.983;110.785;185.966;8.414.240;6.663.394;2.032.863;2.399.548;7.675.217
ALBARICOQUES;11/2019;1.654;1.167;48.752;25.877;29.483;22.18;3.399;1.783;1.28;48.473;39.332;37.325;14.262;22.058;29.17;8.414.240;6.663.394;2.032.863;2.399.548;7.675.217
